marker,LOD,trait
rs31381003,3.212028570908765,Rasrelated associated with diabetes UTVGXHEL1014
rs31381084,3.2964161037301145,Rasrelated associated with diabetes UTVGXHEL1014
rs30303757,3.1888685795029854,Rasrelated associated with diabetes UTVGXHEL1014
rs30314408,3.7218750714444977,Rasrelated associated with diabetes UTVGXHEL1014
rs30260103,3.7110350875590714,Rasrelated associated with diabetes UTVGXHEL1014
rs31136806,3.7168884698951463,Rasrelated associated with diabetes UTVGXHEL1014
rs32936856,3.687404142920872,Rasrelated associated with diabetes UTVGXHEL1014
rs31051029,3.2589980642741825,Rasrelated associated with diabetes UTVGXHEL1014
rs222624698,2.858943093286908,Rasrelated associated with diabetes UTVGXHEL1014
rs13477263,2.556078965968663,Rasrelated associated with diabetes UTVGXHEL1014
rs13477272,2.556078965968663,Rasrelated associated with diabetes UTVGXHEL1014
rs13477280,2.3510099788857115,Rasrelated associated with diabetes UTVGXHEL1014
rs227691182,2.3510099788857115,Rasrelated associated with diabetes UTVGXHEL1014
rs13477288,2.5320214022437804,Rasrelated associated with diabetes UTVGXHEL1014
rs3159432,2.550146985139565,Rasrelated associated with diabetes UTVGXHEL1014
rs30645832,2.8087379843318323,Rasrelated associated with diabetes UTVGXHEL1014
rs13477294,2.9573263153002816,Rasrelated associated with diabetes UTVGXHEL1014
rs30661719,2.546299531640617,Rasrelated associated with diabetes UTVGXHEL1014
rs30261132,2.308788594985476,Rasrelated associated with diabetes UTVGXHEL1014
rs30689880,2.4590834765222582,Rasrelated associated with diabetes UTVGXHEL1014
rs30162637,2.9646478395641145,Rasrelated associated with diabetes UTVGXHEL1014
rs13477412,2.9646478395641145,Rasrelated associated with diabetes UTVGXHEL1014
rs30788144,2.3873308928881567,Rasrelated associated with diabetes UTVGXHEL1014
rs30809559,2.3904576406847435,Rasrelated associated with diabetes UTVGXHEL1014
rs30005275,2.4137380189829365,Rasrelated associated with diabetes UTVGXHEL1014
rs47138345,2.6062246109381144,Rasrelated associated with diabetes UTVGXHEL1014
rs30597855,2.6062246109381144,Rasrelated associated with diabetes UTVGXHEL1014
rs28138719,2.7977906805246504,Rasrelated associated with diabetes UTVGXHEL1014
rs28138717,2.7977906805246504,Rasrelated associated with diabetes UTVGXHEL1014
rs32671645,2.470953568363065,Rasrelated associated with diabetes UTVGXHEL1014
rs32346380,2.318450993378078,Rasrelated associated with diabetes UTVGXHEL1014
rs13477866,2.336906077446944,Rasrelated associated with diabetes UTVGXHEL1014
rs51325572,2.7614310413191983,Rasrelated associated with diabetes UTVGXHEL1014
rs49427169,2.73647606486099,Rasrelated associated with diabetes UTVGXHEL1014
rs13478144,2.73647606486099,Rasrelated associated with diabetes UTVGXHEL1014
rs32019398,2.814992800928799,Rasrelated associated with diabetes UTVGXHEL1014
rs32017704,2.814992800928799,Rasrelated associated with diabetes UTVGXHEL1014
rs39125624,2.620797440747889,Rasrelated associated with diabetes UTVGXHEL1014
rs29504819,3.3645301180959404,Rasrelated associated with diabetes UTVGXHEL1014
rs3706626,3.3645301180959404,Rasrelated associated with diabetes UTVGXHEL1014
rs33185810,3.414701249856991,Rasrelated associated with diabetes UTVGXHEL1014
rs33497497,3.414701249856991,Rasrelated associated with diabetes UTVGXHEL1014
rs33462162,3.414701249856991,Rasrelated associated with diabetes UTVGXHEL1014
rs224949622,2.734684875774958,Rasrelated associated with diabetes UTVGXHEL1014
rs49742109,2.4894660279740397,Rasrelated associated with diabetes UTVGXHEL1014
rs37310530,2.462540722319244,Rasrelated associated with diabetes UTVGXHEL1014
rs29871187,2.384246551805207,Rasrelated associated with diabetes UTVGXHEL1014
rs3690632,2.3660367383285017,Rasrelated associated with diabetes UTVGXHEL1014
rs6319193,2.3858288853432827,Rasrelated associated with diabetes UTVGXHEL1014
rs32523680,2.577901667649136,Rasrelated associated with diabetes UTVGXHEL1014
rs37227876,2.577901667649136,Rasrelated associated with diabetes UTVGXHEL1014
rs31675380,2.381645508274762,Rasrelated associated with diabetes UTVGXHEL1014
rs242958203,2.381645508274762,Rasrelated associated with diabetes UTVGXHEL1014
rs51057795,2.661969704769049,Rasrelated associated with diabetes UTVGXHEL1014
rs46652854,2.453648244147232,Rasrelated associated with diabetes UTVGXHEL1014
rs215332869,2.453648244147232,Rasrelated associated with diabetes UTVGXHEL1014
rs31395168,2.453648244147232,Rasrelated associated with diabetes UTVGXHEL1014
UNC070814219,2.465078611049988,Rasrelated associated with diabetes UTVGXHEL1014
rs31636432,2.465078611049988,Rasrelated associated with diabetes UTVGXHEL1014
rs8281437,2.632464132585618,Rasrelated associated with diabetes UTVGXHEL1014
rs32240657,2.632464132585618,Rasrelated associated with diabetes UTVGXHEL1014
rs108409665,3.3130142664259905,Rasrelated associated with diabetes UTVGXHEL1014
rs32184354,3.2896323041690154,Rasrelated associated with diabetes UTVGXHEL1014
rs32024762,3.090380592436586,Rasrelated associated with diabetes UTVGXHEL1014
rs48975428,3.090380592436586,Rasrelated associated with diabetes UTVGXHEL1014
rs260604888,2.8594335385559555,Rasrelated associated with diabetes UTVGXHEL1014
rs31765528,2.8594335385559555,Rasrelated associated with diabetes UTVGXHEL1014
rs32433796,2.8275882446343914,Rasrelated associated with diabetes UTVGXHEL1014
rs31811139,2.8275882446343914,Rasrelated associated with diabetes UTVGXHEL1014
rs31799039,2.769214740522926,Rasrelated associated with diabetes UTVGXHEL1014
rs50585811,2.3982738644551485,Rasrelated associated with diabetes UTVGXHEL1014
rs13479522,4.062591857665545,Rasrelated associated with diabetes UTVGXHEL1014
rs32503953,4.1880538840835415,Rasrelated associated with diabetes UTVGXHEL1014
rs47651697,4.6081410947704775,Rasrelated associated with diabetes UTVGXHEL1014
rs33223112,3.6010466146170383,Rasrelated associated with diabetes UTVGXHEL1014
rs13479540,3.791116851785785,Rasrelated associated with diabetes UTVGXHEL1014
rs52399129,2.4579613568760528,Rasrelated associated with diabetes UTVGXHEL1014
rs48070676,3.07655238332625,Rasrelated associated with diabetes UTVGXHEL1014
rs217070663,3.2412732858352524,Rasrelated associated with diabetes UTVGXHEL1014
rs3722665,3.2412732858352524,Rasrelated associated with diabetes UTVGXHEL1014
rs33896221,3.203807918103801,Rasrelated associated with diabetes UTVGXHEL1014
rs33231128,3.199167074527344,Rasrelated associated with diabetes UTVGXHEL1014
rs32795379,3.384030872934245,Rasrelated associated with diabetes UTVGXHEL1014
rs32885715,2.9039842488794383,Rasrelated associated with diabetes UTVGXHEL1014
rs32709588,2.9039842488794383,Rasrelated associated with diabetes UTVGXHEL1014
rs37593563,2.607916536662707,Rasrelated associated with diabetes UTVGXHEL1014
rs13479852,2.687892048777249,Rasrelated associated with diabetes UTVGXHEL1014
rs13480011,3.832397461678458,Rasrelated associated with diabetes UTVGXHEL1014
rs3691383,2.3870506587673126,Rasrelated associated with diabetes UTVGXHEL1014
rs37428431,2.3870506587673126,Rasrelated associated with diabetes UTVGXHEL1014
rs50557392,2.3622922108460003,Rasrelated associated with diabetes UTVGXHEL1014
rs37998092,2.303038995992428,Rasrelated associated with diabetes UTVGXHEL1014
rs29835596,2.303038995992428,Rasrelated associated with diabetes UTVGXHEL1014
rs29983887,2.4812406976094663,Rasrelated associated with diabetes UTVGXHEL1014
rs50472876,2.6626821714757507,Rasrelated associated with diabetes UTVGXHEL1014
rs29980498,2.465327576890008,Rasrelated associated with diabetes UTVGXHEL1014
rs32681907,2.465327576890008,Rasrelated associated with diabetes UTVGXHEL1014
rs32708297,2.465327576890008,Rasrelated associated with diabetes UTVGXHEL1014
rs30229691,3.209675527695232,Rasrelated associated with diabetes UTVGXHEL1014
rs29876068,3.209675527695232,Rasrelated associated with diabetes UTVGXHEL1014
rs46126800,3.748486793537608,Rasrelated associated with diabetes UTVGXHEL1014
rs52209119,3.748486793537608,Rasrelated associated with diabetes UTVGXHEL1014
rs29835310,3.7978353141724175,Rasrelated associated with diabetes UTVGXHEL1014
rs50411151,3.282984038601284,Rasrelated associated with diabetes UTVGXHEL1014
rs29789553,3.1462803173412524,Rasrelated associated with diabetes UTVGXHEL1014
rs51272387,3.1462803173412524,Rasrelated associated with diabetes UTVGXHEL1014
rs29939221,2.4128885828227165,Rasrelated associated with diabetes UTVGXHEL1014
rs33081870,2.4685919807048418,Rasrelated associated with diabetes UTVGXHEL1014
rs33093055,2.4685919807048418,Rasrelated associated with diabetes UTVGXHEL1014
rs48369461,2.4685919807048418,Rasrelated associated with diabetes UTVGXHEL1014
rs30268984,2.4685919807048418,Rasrelated associated with diabetes UTVGXHEL1014
rs29944580,2.558428246201277,Rasrelated associated with diabetes UTVGXHEL1014
rs49022808,2.558428246201277,Rasrelated associated with diabetes UTVGXHEL1014
rs30464816,2.6008856087697683,Rasrelated associated with diabetes UTVGXHEL1014
rs29648205,2.531796768188187,Rasrelated associated with diabetes UTVGXHEL1014
rs29589759,2.7682047459221506,Rasrelated associated with diabetes UTVGXHEL1014
rs13480345,2.919187430127226,Rasrelated associated with diabetes UTVGXHEL1014
rs30172327,2.9248686729723654,Rasrelated associated with diabetes UTVGXHEL1014
rs33727955,2.8024172008407264,Rasrelated associated with diabetes UTVGXHEL1014
rs30161962,2.8024172008407264,Rasrelated associated with diabetes UTVGXHEL1014
rs36442789,2.734568113539245,Rasrelated associated with diabetes UTVGXHEL1014
rs3696307,2.3239376448029083,Rasrelated associated with diabetes UTVGXHEL1014
rs49562956,2.343144101264883,Rasrelated associated with diabetes UTVGXHEL1014
rs29359333,2.49080018258523,Rasrelated associated with diabetes UTVGXHEL1014
rs13480629,2.3162625037888045,Rasrelated associated with diabetes UTVGXHEL1014
rs49966997,2.345279673042032,Rasrelated associated with diabetes UTVGXHEL1014
rs3659787,4.528796354262704,Rasrelated associated with diabetes UTVGXHEL1014
rs29393599,4.036340972310757,Rasrelated associated with diabetes UTVGXHEL1014
rs3668599,3.052173532846041,Rasrelated associated with diabetes UTVGXHEL1014
rs48112727,3.178253450270677,Rasrelated associated with diabetes UTVGXHEL1014
rs47711056,3.05115661529581,Rasrelated associated with diabetes UTVGXHEL1014
rs3714397,2.8668637100402856,Rasrelated associated with diabetes UTVGXHEL1014
rs48213971,3.3371577974729254,Rasrelated associated with diabetes UTVGXHEL1014
rs26927331,3.3371577974729254,Rasrelated associated with diabetes UTVGXHEL1014
rs26911381,3.459481581903055,Rasrelated associated with diabetes UTVGXHEL1014
rs26879242,3.459481581903055,Rasrelated associated with diabetes UTVGXHEL1014
rs26879123,3.733746284631736,Rasrelated associated with diabetes UTVGXHEL1014
rs3023249,4.167708472796769,Rasrelated associated with diabetes UTVGXHEL1014
rs28219978,4.3184946198939365,Rasrelated associated with diabetes UTVGXHEL1014
rs45864877,2.6127010675111397,Rasrelated associated with diabetes UTVGXHEL1014
rs29385259,2.466355393365155,Rasrelated associated with diabetes UTVGXHEL1014
rs3659698,2.931845589816265,Rasrelated associated with diabetes UTVGXHEL1014
rs26847682,2.931845589816265,Rasrelated associated with diabetes UTVGXHEL1014
rs49943470,2.9653382861960687,Rasrelated associated with diabetes UTVGXHEL1014
rs26834213,2.568017730105828,Rasrelated associated with diabetes UTVGXHEL1014
rs29390185,2.558669020130447,Rasrelated associated with diabetes UTVGXHEL1014
rs13480879,2.571309862656016,Rasrelated associated with diabetes UTVGXHEL1014
rs29450584,2.6592996091443197,Rasrelated associated with diabetes UTVGXHEL1014
rs29449382,3.059606268871095,Rasrelated associated with diabetes UTVGXHEL1014
rs26851265,3.059606268871095,Rasrelated associated with diabetes UTVGXHEL1014
rs29389965,2.9442634145788045,Rasrelated associated with diabetes UTVGXHEL1014
rs218648778,2.9752069662774345,Rasrelated associated with diabetes UTVGXHEL1014
rs29409347,2.747681498533681,Rasrelated associated with diabetes UTVGXHEL1014
rs13480937,2.768000384778186,Rasrelated associated with diabetes UTVGXHEL1014
rs26851409,2.768000384778186,Rasrelated associated with diabetes UTVGXHEL1014
UNC110311406,2.768000384778186,Rasrelated associated with diabetes UTVGXHEL1014
rs49757482,2.790690943246505,Rasrelated associated with diabetes UTVGXHEL1014
rs46279490,2.804587753820603,Rasrelated associated with diabetes UTVGXHEL1014
UNC110317638,2.804587753820603,Rasrelated associated with diabetes UTVGXHEL1014
rs49493666,2.804587753820603,Rasrelated associated with diabetes UTVGXHEL1014
rs13480950,2.454962679014933,Rasrelated associated with diabetes UTVGXHEL1014
rs13480951,2.431035700409371,Rasrelated associated with diabetes UTVGXHEL1014
rs13480955,2.4515723429652647,Rasrelated associated with diabetes UTVGXHEL1014
rs51677324,2.310215530881015,Rasrelated associated with diabetes UTVGXHEL1014
rs29481123,2.376293637237409,Rasrelated associated with diabetes UTVGXHEL1014
rs3715924,2.376293637237409,Rasrelated associated with diabetes UTVGXHEL1014
rs252262383,2.8992949110769928,Rasrelated associated with diabetes UTVGXHEL1014
rs29157735,2.7873874451737195,Rasrelated associated with diabetes UTVGXHEL1014
rs29178345,2.81017578812171,Rasrelated associated with diabetes UTVGXHEL1014
rs31594883,2.624530713668836,Rasrelated associated with diabetes UTVGXHEL1014
rs29197328,2.95869220551073,Rasrelated associated with diabetes UTVGXHEL1014
rs4137492,2.7484600930483967,Rasrelated associated with diabetes UTVGXHEL1014
rs48903925,3.1304710233123254,Rasrelated associated with diabetes UTVGXHEL1014
rs29215185,3.4593543880473643,Rasrelated associated with diabetes UTVGXHEL1014
rs3665012,3.036784086147063,Rasrelated associated with diabetes UTVGXHEL1014
rs3693390,3.161512279291428,Rasrelated associated with diabetes UTVGXHEL1014
rs49972008,3.161512279291428,Rasrelated associated with diabetes UTVGXHEL1014
rs13481305,5.161071281942842,Rasrelated associated with diabetes UTVGXHEL1014
rs233962127,2.7453258351489334,Rasrelated associated with diabetes UTVGXHEL1014
UNC120679525,3.143157917213524,Rasrelated associated with diabetes UTVGXHEL1014
rs13481313,2.3729851326493216,Rasrelated associated with diabetes UTVGXHEL1014
rs51702445,2.3729851326493216,Rasrelated associated with diabetes UTVGXHEL1014
rs46457644,2.3881279487889437,Rasrelated associated with diabetes UTVGXHEL1014
rs47911751,2.355254807898063,Rasrelated associated with diabetes UTVGXHEL1014
rs3657682,2.8619376655736697,Rasrelated associated with diabetes UTVGXHEL1014
rs48173482,2.853837823980767,Rasrelated associated with diabetes UTVGXHEL1014
rs29140750,2.6924519882176297,Rasrelated associated with diabetes UTVGXHEL1014
rs29137161,2.514768674796922,Rasrelated associated with diabetes UTVGXHEL1014
rs50249022,2.4787293685368508,Rasrelated associated with diabetes UTVGXHEL1014
rs6180964,2.4787293685368508,Rasrelated associated with diabetes UTVGXHEL1014
rs52029554,2.4787293685368508,Rasrelated associated with diabetes UTVGXHEL1014
rs29195543,2.3673299287463467,Rasrelated associated with diabetes UTVGXHEL1014
rs29162875,2.364457517993165,Rasrelated associated with diabetes UTVGXHEL1014
rs3665818,2.364457517993165,Rasrelated associated with diabetes UTVGXHEL1014
rs46638963,2.364457517993165,Rasrelated associated with diabetes UTVGXHEL1014
rs48820674,2.364457517993165,Rasrelated associated with diabetes UTVGXHEL1014
rs51939009,2.351701285304877,Rasrelated associated with diabetes UTVGXHEL1014
rs50360824,2.4624277246210267,Rasrelated associated with diabetes UTVGXHEL1014
rs4229294,2.4819408521169763,Rasrelated associated with diabetes UTVGXHEL1014
rs6238712,2.5532103302502263,Rasrelated associated with diabetes UTVGXHEL1014
rs51569357,2.765097809316623,Rasrelated associated with diabetes UTVGXHEL1014
rs48479424,2.756776634802472,Rasrelated associated with diabetes UTVGXHEL1014
rs47118556,2.71655203952724,Rasrelated associated with diabetes UTVGXHEL1014
rs33847324,2.4805715001427417,Rasrelated associated with diabetes UTVGXHEL1014
rs29170310,2.4805715001427417,Rasrelated associated with diabetes UTVGXHEL1014
rs3724260,2.6455071852866805,Rasrelated associated with diabetes UTVGXHEL1014
rs33173834,2.714230308687573,Rasrelated associated with diabetes UTVGXHEL1014
rs46371747,2.762389234310004,Rasrelated associated with diabetes UTVGXHEL1014
rs239382077,2.6289795811374868,Rasrelated associated with diabetes UTVGXHEL1014
rs29211249,2.455030228089944,Rasrelated associated with diabetes UTVGXHEL1014
rs47575395,3.389014001366329,Rasrelated associated with diabetes UTVGXHEL1014
rs48954213,3.365265532436105,Rasrelated associated with diabetes UTVGXHEL1014
rs29134680,3.219980685001433,Rasrelated associated with diabetes UTVGXHEL1014
rs4229611,2.450418154397487,Rasrelated associated with diabetes UTVGXHEL1014
rs4140265,2.450418154397487,Rasrelated associated with diabetes UTVGXHEL1014
UNC21927955,2.433113228484768,Rasrelated associated with diabetes UTVGXHEL1014
rs3701164,2.343199504894397,Rasrelated associated with diabetes UTVGXHEL1014
rs29804781,2.3178420913335307,Rasrelated associated with diabetes UTVGXHEL1014
rs29688501,2.3178420913335307,Rasrelated associated with diabetes UTVGXHEL1014
rs13481774,2.3178420913335307,Rasrelated associated with diabetes UTVGXHEL1014
rs3719241,2.3178420913335307,Rasrelated associated with diabetes UTVGXHEL1014
rs29883684,2.4930774197992447,Rasrelated associated with diabetes UTVGXHEL1014
rs29554601,2.4930774197992447,Rasrelated associated with diabetes UTVGXHEL1014
rs6271232,2.95674678037045,Rasrelated associated with diabetes UTVGXHEL1014
rs3725387,4.6698892034141375,Rasrelated associated with diabetes UTVGXHEL1014
rs30854176,4.743149742756639,Rasrelated associated with diabetes UTVGXHEL1014
rs233613258,4.62445688439847,Rasrelated associated with diabetes UTVGXHEL1014
rs29248396,3.872055936252442,Rasrelated associated with diabetes UTVGXHEL1014
rs48787355,3.872055936252442,Rasrelated associated with diabetes UTVGXHEL1014
rs46675329,3.8803949862700025,Rasrelated associated with diabetes UTVGXHEL1014
rs3682400,3.5856988727873453,Rasrelated associated with diabetes UTVGXHEL1014
rs13481805,3.5856988727873453,Rasrelated associated with diabetes UTVGXHEL1014
rs52615877,2.6641913185978607,Rasrelated associated with diabetes UTVGXHEL1014
rs46699159,2.368605885486546,Rasrelated associated with diabetes UTVGXHEL1014
rs13481943,2.361868539588177,Rasrelated associated with diabetes UTVGXHEL1014
rs49555935,2.34841020727168,Rasrelated associated with diabetes UTVGXHEL1014
rs13481955,2.34841020727168,Rasrelated associated with diabetes UTVGXHEL1014
rs4229988,2.34841020727168,Rasrelated associated with diabetes UTVGXHEL1014
rs4230010,2.704022971289154,Rasrelated associated with diabetes UTVGXHEL1014
rs4230027,3.505753887289353,Rasrelated associated with diabetes UTVGXHEL1014
rs3702296,3.32811245406868,Rasrelated associated with diabetes UTVGXHEL1014
rs29250801,3.3274428648235475,Rasrelated associated with diabetes UTVGXHEL1014
rs29782606,2.477741302314324,Rasrelated associated with diabetes UTVGXHEL1014
rs36266022,2.586098267389632,Rasrelated associated with diabetes UTVGXHEL1014
rs39264668,2.903190832262013,Rasrelated associated with diabetes UTVGXHEL1014
rs13481980,2.903190832262013,Rasrelated associated with diabetes UTVGXHEL1014
rs48387138,2.7980113972608884,Rasrelated associated with diabetes UTVGXHEL1014
rs6389588,3.0160782564410877,Rasrelated associated with diabetes UTVGXHEL1014
rs4230140,2.404480618669207,Rasrelated associated with diabetes UTVGXHEL1014
rs48403312,2.4915172114840303,Rasrelated associated with diabetes UTVGXHEL1014
rs30643712,2.4915172114840303,Rasrelated associated with diabetes UTVGXHEL1014
rs51868629,2.382131024081506,Rasrelated associated with diabetes UTVGXHEL1014
rs13482236,2.8456080318170938,Rasrelated associated with diabetes UTVGXHEL1014
rs49029178,2.8416536534658303,Rasrelated associated with diabetes UTVGXHEL1014
rs3089069,2.8610150343235663,Rasrelated associated with diabetes UTVGXHEL1014
rs36930851,2.8610150343235663,Rasrelated associated with diabetes UTVGXHEL1014
rs3654170,3.0029768522582505,Rasrelated associated with diabetes UTVGXHEL1014
rs47284463,3.0029768522582505,Rasrelated associated with diabetes UTVGXHEL1014
rs30843604,2.3964117138164047,Rasrelated associated with diabetes UTVGXHEL1014
rs31098618,2.3874313609792,Rasrelated associated with diabetes UTVGXHEL1014
rs30154833,2.369190709101108,Rasrelated associated with diabetes UTVGXHEL1014
rs244723394,2.369190709101108,Rasrelated associated with diabetes UTVGXHEL1014
rs31434207,2.503081781374085,Rasrelated associated with diabetes UTVGXHEL1014
rs31191541,2.5036312255905653,Rasrelated associated with diabetes UTVGXHEL1014
rs13482380,2.933271409251402,Rasrelated associated with diabetes UTVGXHEL1014
rs30386025,2.963969881583169,Rasrelated associated with diabetes UTVGXHEL1014
JAX00057651,3.2233091374924467,Rasrelated associated with diabetes UTVGXHEL1014
rs259924538,3.444142879219926,Rasrelated associated with diabetes UTVGXHEL1014
rs51650625,3.4258910767531128,Rasrelated associated with diabetes UTVGXHEL1014
rs3722416,2.532702530421173,Rasrelated associated with diabetes UTVGXHEL1014
